Time Elapsed,ID,X-Coord,Y-Coord
1526.0,5145613008,10.546,32.967
1527.0,5144660752,29.186,36.396
1527.0,5144976400,25.483,26.494
1527.0,5144669008,11.395,21.438
1527.0,5142859728,20.638,39.289
1527.0,5145153488,2.453,11.755
1527.0,5145376528,32.907,34.893
1527.0,5141658896,28.739,35.604
1527.0,5145496912,35.868,32.299
1527.0,5145501520,33.634,0.26
1527.0,5145427536,16.585,9.091
1527.0,5145506064,36.805,28.374
1527.0,5145502736,7.017,31.305
1527.0,5145550224,2.261,32.689
1527.0,5145553936,21.119,37.81
1527.0,5144920144,0.674,9.863
1527.0,5145613008,10.546,32.967
1528.0,5144660752,29.186,36.396
1528.0,5144976400,25.483,26.494
1528.0,5144669008,11.395,21.438
1528.0,5142859728,20.638,39.289
1528.0,5145153488,2.453,11.755
1528.0,5145376528,32.907,34.893
1528.0,5141658896,28.739,35.604
1528.0,5145496912,35.868,32.299
1528.0,5145501520,33.634,0.26
1528.0,5145427536,16.585,9.091
1528.0,5145506064,36.805,28.374
1528.0,5145502736,7.017,31.305
1528.0,5145550224,2.261,32.689
1528.0,5145553936,21.119,37.81
1528.0,5144920144,0.674,9.863
1528.0,5145613008,10.546,32.967
1528.0,5141526480,20.65,25.872
1528.0,5141527440,6.138,29.687
1528.0,5145615056,29.597,4.173
1529.0,5144660752,29.186,36.396
1529.0,5144976400,25.483,26.494
1529.0,5142859728,20.638,39.289
1529.0,5145153488,2.453,11.755
1529.0,5145376528,32.907,34.893
1529.0,5141658896,28.739,35.604
1529.0,5145496912,35.868,32.299
1529.0,5145427536,16.585,9.091
1529.0,5145506064,36.805,28.374
1529.0,5145502736,7.017,31.305
1529.0,5145550224,2.261,32.689
1529.0,5145553936,21.119,37.81
1529.0,5144920144,0.674,9.863
1529.0,5145613008,10.546,32.967
1529.0,5141526480,20.65,25.872
1529.0,5141527440,6.138,29.687
1530.0,5144660752,29.186,36.396
1530.0,5144976400,25.483,26.494
1530.0,5142859728,20.638,39.289
1530.0,5145153488,2.453,11.755
1530.0,5145376528,32.907,34.893
1530.0,5141658896,28.739,35.604
1530.0,5145496912,35.868,32.299
1530.0,5145427536,16.585,9.091
1530.0,5145506064,36.805,28.374
1530.0,5145502736,7.017,31.305
1530.0,5145550224,2.261,32.689
1530.0,5145553936,21.119,37.81
1530.0,5144920144,0.674,9.863
1530.0,5145613008,10.546,32.967
1530.0,5141526480,20.65,25.872
